https://en.wikipedia.org/wiki/List_of_male_jazz_singers
Mose Allison
Ernie Andrews
Louis Armstrong
Chet Baker
Tony Bennett
George Benson
Andy Bey
Richard B. Boone
Oscar Brown Jr.
Ray Brown Jr.
Chick Bullock
Michael Bublé
Bobby Caldwell
Cab Calloway
Hoagy Carmichael
Ray Charles
Doc Cheatham
Freddy Cole
Nat King Cole
Earl Coleman
Harry Connick Jr.
Bing Crosby
Bob Crosby
Jamie Cullum
Olu Dara
Vic Damone
Bobby Darin
Sammy Davis Jr.
Fats Domino
Bob Dorough
Matt Dusk
Billy Eckstine
Roy Eldridge
Kurt Elling
Don Elliott
Michael Feinstein
Bob Flanigan
Herb Flemming
Slim Gaillard
Giacomo Gates
Dizzy Gillespie
Babs Gonzales
Buddy Greco
Lionel Hampton
Wynonie Harris
Jimmy Harrison
Joel Harrison
Johnny Hartman
Nathan Hartono
Tim Hauser
Bill Henderson
Jon Hendricks
Woody Herman
Al Hibbler
José James
Al Jarreau
Eddie Jefferson
Herb Jeffries
Al Jolson
Jack Jones
Jonah Jones
Vince Jones
Louis Jordan
Per Jørgensen
Ronny Jordan
Frankie Laine
Dave Lambert
Steve Lawrence
Nick Lucas
Jon Lucien
Dean Martin
Al Martino
Bobby McFerrin
Red McKenzie
Jay McShann
Kevin Mahogany
George Melly
Mark Murphy
Ray Nance
Wayne Newton
Big Nick Nicholas
Kid Ory
Hot Lips Page
Jackie Paris
Sonny Parker
John Pizzarelli
King Pleasure
Gregory Porter
Louis Prima
Jeanfrançois Prins
Arthur Prysock
Lou Rawls
Don Redman
Kenny Rankin
Bill Robinson
Jamison Ross
Dennis Rowland
Jimmy Rushing
Jimmy Scott
Gil Scott-Heron
Ben Sidran
Frank Sinatra
Jimmy Smith
Stuff Smith
Buddy Stewart
Curtis Stigers
Bob Stoloff
Norbert Susemihl
Grady Tate
Freddy Taylor
Jack Teagarden
Leon Thomas
Mel Tormé
Steve Tyrell
Jerry Vale
Rudy Vallee
J.D. Walter
Cleveland Watkiss
Monty Waters
Leo Watson
Dave Wilborn
Andy Williams
Cootie Williams
Joe Williams
Joe Lee Wilson
Kalil Wilson
Lee Young
Trummy Young
