https://en.wikipedia.org/wiki/List_of_people_with_non-binary_gender_identities
Name,Birth year,Nationality,Gender identity,Notable as,Reference
Courtney Act,1982,Australian,Genderqueer,"Drag queen, singer, television personality",[1]
Aja,1994,American,Genderfluid,"Drag queen, rapper, television personality",[2]
Travis Alabanza,1996,British,Gender non-conforming,"Performance artist, poet, writer, LGBTQ rights activist",[3]
Kaitlyn Alexander,1992,Canadian,Non-binary,"Actor, writer, web series creator and YouTube personality",[4]
Qween Amor,1989,American,,Erotic dancer,[5]
Arca,1989,Venezuelan,Non-binary,"Record producer, singer",[6]
Ruth Baldacchino,1979,Maltese,Non-binary,LGBT and intersex human rights activist,[7]
Meg-John Barker,1974,British,Plural / non-binary,"Author, speaker, consultant, activist",[8]
Thomas Baty,1869,British,"Transgender, non-binary","Lawyer, writer, editor of the feminist gender studies journal *Urania*",[9]
Mal Blum,1988,American,Non-binary,"Musician, Singer",[10]
Justin Vivian Bond,1963,American,Transgender,"Singer-songwriter, drag queen",[11]
Kate Bornstein,1948,American,Gender non-conforming,"Author, playwright, performance artist, and gender theorist",[12]
Pandora Boxx,1972,American,Genderfluid,"Drag queen, television personality",[13]
Rhea Butcher,1982,American,Non-binary,"Stand up comic, actor",[14]
Judith Butler,1956,American,Non-binary,"Philosopher, gender theorist",[15]
Anna-Varney Cantodea,Unknown,German,Genderqueer,"Musician, singer-songwriter",[16]
Nicky Case,Unknown,Canadian,Genderqueer and non-binary,Independent video game developer,[17]
Cassils,Unknown,Canadian,Gender non-conforming,Performance artist,[18]
Violet Chachki,1992,American,Genderfluid,"Drag queen, model, television personality",[19]
Shea Couleé,1989,American,Non-binary,"Drag queen, musician, television personality",[20]
Miley Cyrus,1992,American,Genderfluid,"Singer, songwriter, and actor",[21]
Adore Delano,1989,American,Non-binary,"Singer, songwriter, drag queen, television personality",[22]
Cara Delevingne,1992,British,Genderfluid,Model and actor,[23]
Asia Kate Dillon,1984,American,Non-binary,Actor,[24]
Tommy Dorfman,1992,American,Non-binary,Actor,[25]
Rain Dove,1989,American,Non-binary,"Model, actor, and activist",[26]
Dorian Electra,1992,American,Genderfluid,"Singer, songwriter, video and performance artist",[27]
Laganja Estranja,1988,American,Genderfluid,"Drag queen, television personality",[28][*failed verification*]
Miss Fame,1985,American,Genderfluid,"Drag queen, makeup artist, model, television personality",[29]
